Criminal_ID,Name,Gender,DOB,Nationality,Contact_No,Known_Address
C001,Vikram Singh,M,1985-03-15,Canadian,9876543210,24,Zakir Nagar,Delhi
C002,Shahid Patel,M,1992-09-21,Indian,8765432109,17,Richmond Road,Chennai
C003,Zoya Begum,F,1978-07-03,Indian,7654321098,9,Bandra West,Mumbai
C004,Sameer Ahmed,M,1980-11-12,Indian,6543210987,36,Hazratganj,Lucknow
C005,Armaan Khan,M,1987-05-28,Indian,5432109876,12,Jammu Tawi,Jammu
C006,Aisha Mirza,F,1983-09-09,Indian,4321098765,7,Cathedral Road,Chennai
C007,Salman Sheikh,M,1975-12-08,Indian,3210987654,15,Marine Drive,Mumbai
C008,Aarav Gupta,M,1989-02-17,Indian,2109876543,33,Gauhati,Guwahati
C009,Ayesha Khanum,F,1982-04-25,Indian,1098765432,19,Brigade Road,Bangalore
C010,Amir Ali,M,1984-10-31,Indian,0987654321,NULL
C011,Farhan Khan,M,1980-06-20,Indian,9876543210,45,Guwahati Road,Guwahati
C012,Rahul Verma,M,1995-09-15,Indian,8765432109,25,Jubilee Hills,Hyderabad
C013,Aisha Sheikh,F,1982-07-10,Indian,7654321098,7,Hazratganj,Lucknow
C014,Danish Siddiqui,M,1978-04-05,Indian,6543210987,NULL
C015,Rohit Patel,M,1986-11-22,Indian,5432109876,30,Marina Beach,Chennai
C016,Irfan Khan,M,1983-03-18,Indian,4321098765,18,Andheri West,Mumbai
C017,Vivek Sharma,M,1980-08-07,Indian,3210987654,10,Park Street,Kolkata
C018,Zara Begum,F,1984-12-30,Indian,2109876543,55,Brigade Road,Bangalore
C020,Rohan Kumar,M,1982-05-10,Indian,9876543210,29,Guwahati Road,Guwahati
C021,Aarav Singh,M,1977-11-15,Indian,8765432109,10,Banjara Hills,Hyderabad
C022,Natasha Sharma,F,1988-08-20,Indian,7654321098,15,Bandra West,Mumbai
C023,Faizan Khan,M,1980-03-25,Pakistani,6543210987,NULL
C024,Karan Patel,M,1985-09-30,Indian,5432109876,50,Dispur,Guwahati
C025,Sania Khan,F,1983-07-12,Pakistani,4321098765,12,Jubilee Hills,Hyderabad
C027,Aryan Ahmed,M,1984-09-12,Indian,9876543210,12,Jammu Tawi,Jammu
C028,Zoya Khan,F,1986-05-25,Indian,8765432109,28,Andheri West,Mumbai
C029,Priya Dasgupta,F,1982-12-08,Indian,7654321098,45,Park Street,Kolkata
C030,Rohit Sharma,M,1979-07-30,Indian,6543210987,22,Connaught Place,Delhi
C031,Danish Khan,M,1988-02-15,Indian,5432109876,34,Dispur,Guwahati
